Location,Country_code,Diseases,Diseases Deaths
Guatemala,GTM,Lower respiratory infections,25595
Lao People's Democratic Republic,LAO,Lower respiratory infections,25608
Georgia,GEO,Stroke,25651
Papua New Guinea,PNG,Ischaemic heart disease,25721
Republic of Korea,KOR,Stroke,25730
Rwanda,RWA,Lower respiratory infections,25822
Iran (Islamic Republic of),IRN,Chronic obstructive pulmonary disease,25865
Chile,CHL,Ischaemic heart disease,25879
France,FRA,"Trachea, bronchus, lung cancers",25889
Belize,BLZ,"Trachea, bronchus, lung cancers",25.49
Gabon,GAB,"Trachea, bronchus, lung cancers",250.7
Iraq,IRQ,"Trachea, bronchus, lung cancers",2500
The former Yugoslav Republic of Macedonia,MKD,"Trachea, bronchus, lung cancers",2502
Portugal,PRT,"Trachea, bronchus, lung cancers",2503
Austria,AUT,Chronic obstructive pulmonary disease,2508
Senegal,SEN,Chronic obstructive pulmonary disease,2516
Tonga,TON,Ischaemic heart disease,252.7
Mongolia,MNG,Lower respiratory infections,2524
Eswatini,SWZ,Ischaemic heart disease,2525
Solomon Islands,SLB,Chronic obstructive pulmonary disease,253
Guinea,GIN,"Trachea, bronchus, lung cancers",253.1
Maldives,MDV,Stroke,253.2
Bangladesh,BGD,Ischaemic heart disease,255510
Czechia,CZE,"Trachea, bronchus, lung cancers",2550
Guinea-Bissau,GNB,Ischaemic heart disease,2553
Qatar,QAT,Chronic obstructive pulmonary disease,256.8
Lao People's Democratic Republic,LAO,"Trachea, bronchus, lung cancers",2564
Kuwait,KWT,Lower respiratory infections,2565
Chad,TCD,Chronic obstructive pulmonary disease,2568
Nicaragua,NIC,"Trachea, bronchus, lung cancers",257.1
Luxembourg,LUX,Stroke,257.7
Saint Lucia,LCA,Ischaemic heart disease,257.9
Kyrgyzstan,KGZ,"Trachea, bronchus, lung cancers",2570
Paraguay,PRY,Lower respiratory infections,2573
Australia,AUS,"Trachea, bronchus, lung cancers",2575
Denmark,DNK,Lower respiratory infections,2581
Namibia,"NAM",Stroke,2581
Georgia,GEO,"Trachea, bronchus, lung cancers",2586
Angola,AGO,Lower respiratory infections,259792
Jamaica,JAM,Ischaemic heart disease,2598
Togo,TGO,Ischaemic heart disease,26023
Japan,JPN,Chronic obstructive pulmonary disease,26062
Yemen,YEM,Stroke,26109
Lao People's Democratic Republic,LAO,Ischaemic heart disease,26177
Nepal,NPL,Stroke,26239
Cuba,CUB,Ischaemic heart disease,26251
Egypt,EGY,Chronic obstructive pulmonary disease,26466
Philippines,PHL,"Trachea, bronchus, lung cancers",26808
United Kingdom of Great Britain and Northern Ireland,GBR,"Trachea, bronchus, lung cancers",26908
Algeria,DZA,Stroke,26941
Tonga,TON,Chronic obstructive pulmonary disease,26.35
Seychelles,SYC,"Trachea, bronchus, lung cancers",26.78
Saint Lucia,LCA,Stroke,260.3
Israel,ISR,"Trachea, bronchus, lung cancers",2602
Mexico,MEX,Ischaemic heart disease,261450
Burundi,BDI,"Trachea, bronchus, lung cancers",261.6
Estonia,EST,"Trachea, bronchus, lung cancers",261.8
Jordan,JOR,"Trachea, bronchus, lung cancers",2610
Liberia,LBR,Stroke,2617
Timor-Leste,TLS,Chronic obstructive pulmonary disease,262.8
Lebanon,LBN,Lower respiratory infections,2623
Mozambique,MOZ,"Trachea, bronchus, lung cancers",263.6
Gabon,GAB,Stroke,2633
Trinidad and Tobago,TTO,Lower respiratory infections,264.8
Canada,CAN,Lower respiratory infections,2642
Senegal,SEN,"Trachea, bronchus, lung cancers",265.6
Slovenia,SVN,Stroke,2650
Kyrgyzstan,KGZ,Chronic obstructive pulmonary disease,2653
Vanuatu,VUT,Lower respiratory infections,266.2
Switzerland,CHE,"Trachea, bronchus, lung cancers",2661
Lithuania,LTU,"Trachea, bronchus, lung cancers",267
Nigeria,NGA,Stroke,267238
Kuwait,KWT,"Trachea, bronchus, lung cancers",267.8
Cambodia,KHM,Chronic obstructive pulmonary disease,2676
Chile,CHL,"Trachea, bronchus, lung cancers",2677
Costa Rica,CRI,Lower respiratory infections,2694
Niger,NER,Ischaemic heart disease,27031
Democratic People's Republic of Korea,PRK,"Trachea, bronchus, lung cancers",27052
Cameroon,CMR,Stroke,27197
Malaysia,MYS,Stroke,27230
Madagascar,MDG,Stroke,27448
Kazakhstan,KAZ,Lower respiratory infections,27503
Côte d’Ivoire,CIV,Stroke,27606
Türkiye,TUR,Lower respiratory infections,27772
Mexico,MEX,Chronic obstructive pulmonary disease,27819
Spain,ESP,Stroke,27942
Solomon Islands,SLB,"Trachea, bronchus, lung cancers",27.25
Kiribati,KIR,Chronic obstructive pulmonary disease,27.48
Libya,LBY,Lower respiratory infections,2701
Austria,AUT,"Trachea, bronchus, lung cancers",2717
Canada,CAN,Lower respiratory infections,2721
Georgia,GEO,Chronic obstructive pulmonary disease,2721
El Salvador,SLV,Chronic obstructive pulmonary disease,2724
Malaysia,MYS,"Trachea, bronchus, lung cancers",2728
Ethiopia,ETH,Lower respiratory infections,274004
Panama,PAN,Ischaemic heart disease,2752
Portugal,PRT,Chronic obstructive pulmonary disease,2759
Samoa,WSM,Ischaemic heart disease,277
Seychelles,SYC,Lower respiratory infections,277.1
Maldives,MDV,Ischaemic heart disease,277.4
Sierra Leone,SLE,"Trachea, bronchus, lung cancers",278.4
Djibouti,DJI,Lower respiratory infections,2782
Cuba,CUB,"Trachea, bronchus, lung cancers",2786
Namibia,"NAM",Lower respiratory infections,2788
Costa Rica,CRI,Stroke,2797
Saudi Arabia,SAU,Lower respiratory infections,28070
Tajikistan,TJK,Lower respiratory infections,28130
Turkmenistan,TKM,Ischaemic heart disease,28133
Cambodia,KHM,Lower respiratory infections,28187
Mozambique,MOZ,Stroke,28206
Algeria,DZA,Lower respiratory infections,28320
Tajikistan,TJK,Stroke,28447
Nigeria,NGA,Chronic obstructive pulmonary disease,28464
Syrian Arab Republic,SYR,Lower respiratory infections,28494
Germany,DEU,Stroke,28540
Australia,AUS,Ischaemic heart disease,28563
Poland,POL,Chronic obstructive pulmonary disease,28583
Honduras,HND,Ischaemic heart disease,28745
Burkina Faso,BFA,Stroke,28816
Oman,OMN,Ischaemic heart disease,28905
Dominican Republic,DOM,Lower respiratory infections,2801
Gabon,GAB,Lower respiratory infections,2809
Bangladesh,BGD,Stroke,281518
Bulgaria,BGR,Chronic obstructive pulmonary disease,2817
Estonia,EST,Ischaemic heart disease,2819
Czechia,CZE,Chronic obstructive pulmonary disease,2825
Serbia,SRB,Lower respiratory infections,2829
Switzerland,CHE,Chronic obstructive pulmonary disease,2835
Gambia,GMB,Ischaemic heart disease,2838
Bahrain,BHR,"Trachea, bronchus, lung cancers",284
Kiribati,KIR,Stroke,284.3
Republic of Moldova,MDA,"Trachea, bronchus, lung cancers",284.8
Namibia,"NAM",Chronic obstructive pulmonary disease,284.8
Austria,AUT,Stroke,2846
Mozambique,MOZ,"Trachea, bronchus, lung cancers",285.1
Pakistan,PAK,Chronic obstructive pulmonary disease,287238
Timor-Leste,TLS,Lower respiratory infections,2875
Barbados,BRB,Lower respiratory infections,288.3
Seychelles,SYC,Ischaemic heart disease,288.7
Lithuania,LTU,Stroke,2881
Namibia,"NAM",Ischaemic heart disease,2881
Guinea-Bissau,GNB,Ischaemic heart disease,2882
Sao Tome and Principe,STP,Ischaemic heart disease,289.2
Suriname,SUR,Lower respiratory infections,289.3
Syrian Arab Republic,SYR,Chronic obstructive pulmonary disease,2893
Greece,GRC,Chronic obstructive pulmonary disease,2898
Afghanistan,AFG,Chronic obstructive pulmonary disease,29026
Kazakhstan,KAZ,Stroke,29032
Morocco,MAR,Stroke,29092
Italy,ITA,"Trachea, bronchus, lung cancers",29173
Togo,TGO,Lower respiratory infections,29314
Burkina Faso,BFA,Ischaemic heart disease,29356
Colombia,COL,Stroke,29532
Benin,BEN,Ischaemic heart disease,29541
Republic of Korea,KOR,Lower respiratory infections,29728
Uzbekistan,UZB,Lower respiratory infections,29861
Poland,POL,Stroke,29909
Eswatini,SWZ,"Trachea, bronchus, lung cancers",29.26
Montenegro,MNE,Lower respiratory infections,290.2
Bahrain,BHR,Lower respiratory infections,290.8
Costa Rica,CRI,Ischaemic heart disease,2902
Peru,PER,Chronic obstructive pulmonary disease,2905
United Republic of Tanzania,TZA,Chronic obstructive pulmonary disease,2907
Armenia,ARM,Lower respiratory infections,2922
Iran (Islamic Republic of),IRN,Ischaemic heart disease,293251
Mauritania,MRT,"Trachea, bronchus, lung cancers",293.9
Guyana,GUY,Chronic obstructive pulmonary disease,293.9
Denmark,DNK,"Trachea, bronchus, lung cancers",2937
Panama,PAN,Stroke,2938
Norway,NOR,Ischaemic heart disease,2942
Benin,BEN,Chronic obstructive pulmonary disease,2942
Gabon,GAB,Ischaemic heart disease,2948
Armenia,ARM,"Trachea, bronchus, lung cancers",2953
Nicaragua,NIC,Lower respiratory infections,2955
Austria,AUT,Chronic obstructive pulmonary disease,2956
Guyana,GUY,Ischaemic heart disease,2964
Vanuatu,VUT,Stroke,297.1
Georgia,GEO,"Trachea, bronchus, lung cancers",297.5
Côte d’Ivoire,CIV,Chronic obstructive pulmonary disease,2977
Botswana,BWA,Ischaemic heart disease,2979
Israel,ISR,Chronic obstructive pulmonary disease,2989
Chad,TCD,"Trachea, bronchus, lung cancers",299
Morocco,MAR,Ischaemic heart disease,299352
Malawi,MWI,"Trachea, bronchus, lung cancers",299.7
India,IND,Stroke,3199284
India,IND,Ischaemic heart disease,3588263
India,IND,Chronic obstructive pulmonary disease,3884636
Nigeria,NGA,Lower respiratory infections,3890532
Tonga,TON,"Trachea, bronchus, lung cancers",3.3
Saint Vincent and the Grenadines,VCT,"Trachea, bronchus, lung cancers",3.7
Cambodia,KHM,Ischaemic heart disease,30060
Romania,ROU,Lower respiratory infections,30105
Germany,DEU,"Trachea, bronchus, lung cancers",30162
Kazakhstan,KAZ,Stroke,30397
Cameroon,CMR,Ischaemic heart disease,30505
United Arab Emirates,ARE,Ischaemic heart disease,30514
Ukraine,UKR,Lower respiratory infections,30713
Yemen,YEM,Stroke,30781
Republic of Korea,KOR,"Trachea, bronchus, lung cancers",30926
Barbados,BRB,Chronic obstructive pulmonary disease,30.77
El Salvador,SLV,"Trachea, bronchus, lung cancers",300.1
Portugal,PRT,Lower respiratory infections,3003
Armenia,ARM,Stroke,3004
Venezuela (Bolivarian Republic of),VEN,"Trachea, bronchus, lung cancers",3016
Cyprus,CYP,Chronic obstructive pulmonary disease,302.8
Lebanon,LBN,"Trachea, bronchus, lung cancers",3032
Kuwait,KWT,Stroke,3036
Haiti,HTI,"Trachea, bronchus, lung cancers",304.7
Grenada,GRD,Ischaemic heart disease,304.8
Malta,MLT,Lower respiratory infections,305.1
Brunei Darussalam,BRN,Stroke,306.5
Uzbekistan,UZB,"Trachea, bronchus, lung cancers",3060
Honduras,HND,Chronic obstructive pulmonary disease,3062
Guinea,GIN,Chronic obstructive pulmonary disease,3062
Mauritania,MRT,Stroke,3063
Colombia,COL,"Trachea, bronchus, lung cancers",3067
Liberia,LBR,"Trachea, bronchus, lung cancers",307.2
The former Yugoslav Republic of Macedonia,MKD,"Trachea, bronchus, lung cancers",3077
Armenia,ARM,Lower respiratory infections,3079
Tunisia,TUN,Chronic obstructive pulmonary disease,3079
Jamaica,JAM,Ischaemic heart disease,3089
Netherlands,NLD,Lower respiratory infections,3091
Burundi,BDI,Chronic obstructive pulmonary disease,3096
Kenya,KEN,Ischaemic heart disease,31021
Nepal,NPL,Lower respiratory infections,31197
Myanmar,MMR,Chronic obstructive pulmonary disease,31203
Angola,AGO,Ischaemic heart disease,31228
Mongolia,MNG,Ischaemic heart disease,31283
Uganda,UGA,Ischaemic heart disease,31355
Sudan,SDN,Stroke,31392
Cameroon,CMR,Stroke,31453
Nepal,NPL,Lower respiratory infections,31522
Belarus,BLR,Stroke,31678
Haiti,HTI,Lower respiratory infections,31817
Mali,MLI,Ischaemic heart disease,31939
Germany,DEU,Lower respiratory infections,31989
Tonga,TON,Stroke,31.12
Tonga,TON,Stroke,31.25
Guyana,GUY,"Trachea, bronchus, lung cancers",31.51
Samoa,WSM,Chronic obstructive pulmonary disease,31.68
Djibouti,DJI,"Trachea, bronchus, lung cancers",31.76
Niger,NER,Lower respiratory infections,310853
Fiji,FJI,Lower respiratory infections,310.3
Bhutan,BTN,Ischaemic heart disease,3104
Benin,BEN,"Trachea, bronchus, lung cancers",311
Afghanistan,AFG,Ischaemic heart disease,311317
India,IND,"Trachea, bronchus, lung cancers",311967
Gambia,GMB,Ischaemic heart disease,3115
Saudi Arabia,SAU,Ischaemic heart disease,312370
Uruguay,URY,"Trachea, bronchus, lung cancers",312.4
Lao People's Democratic Republic,LAO,Chronic obstructive pulmonary disease,3123
Uruguay,URY,Stroke,3126
Bosnia and Herzegovina,BIH,Chronic obstructive pulmonary disease,3132
Latvia,LVA,Stroke,3139
Egypt,EGY,Lower respiratory infections,314862
Côte d’Ivoire,CIV,Lower respiratory infections,314877
Libya,LBY,Lower respiratory infections,3146
Tajikistan,TJK,Chronic obstructive pulmonary disease,3147
Jordan,JOR,"Trachea, bronchus, lung cancers",3148
South Africa,ZAF,Lower respiratory infections,315464
Armenia,ARM,Stroke,3153
Trinidad and Tobago,TTO,Ischaemic heart disease,3156
Pakistan,PAK,Stroke,318215
Burkina Faso,BFA,Chronic obstructive pulmonary disease,3182
Belarus,BLR,Chronic obstructive pulmonary disease,3189
Rwanda,RWA,Lower respiratory infections,32018
Russian Federation,RUS,Chronic obstructive pulmonary disease,32200
Serbia,SRB,Ischaemic heart disease,32425
Lithuania,LTU,Ischaemic heart disease,32450
Slovakia,SVK,Ischaemic heart disease,32509
Zimbabwe,ZWE,Lower respiratory infections,32649
Croatia,HRV,Ischaemic heart disease,32704
Guatemala,GTM,Lower respiratory infections,32721
Italy,ITA,Stroke,32876
Central African Republic,CAF,Lower respiratory infections,32894
Ethiopia,ETH,Chronic obstructive pulmonary disease,32988
Equatorial Guinea,GNQ,"Trachea, bronchus, lung cancers",32.4
Tonga,TON,Lower respiratory infections,32.51
Seychelles,SYC,Chronic obstructive pulmonary disease,32.62
Paraguay,PRY,Stroke,3209
Estonia,EST,Lower respiratory infections,322.3
Slovakia,SVK,"Trachea, bronchus, lung cancers",3225
Singapore,SGP,Stroke,3226
Slovakia,SVK,Stroke,3228
Guinea,GIN,Chronic obstructive pulmonary disease,3246
Chad,TCD,Lower respiratory infections,325112
Belarus,BLR,Lower respiratory infections,3260
Ethiopia,ETH,"Trachea, bronchus, lung cancers",3267
Senegal,SEN,Chronic obstructive pulmonary disease,3275
Guinea-Bissau,GNB,Chronic obstructive pulmonary disease,328.8
Solomon Islands,SLB,Ischaemic heart disease,3282
Saudi Arabia,SAU,"Trachea, bronchus, lung cancers",3285
Netherlands,NLD,Lower respiratory infections,3287
Nigeria,NGA,"Trachea, bronchus, lung cancers",3287
Cameroon,CMR,Lower respiratory infections,329019
Cyprus,CYP,Stroke,329.9
Austria,AUT,Stroke,3293
Papua New Guinea,PNG,Chronic obstructive pulmonary disease,3294
Ethiopia,ETH,"Trachea, bronchus, lung cancers",3297
Chad,TCD,Ischaemic heart disease,33028
Peru,PER,Ischaemic heart disease,33089
Somalia,SOM,Ischaemic heart disease,33094
Venezuela (Bolivarian Republic of),VEN,Lower respiratory infections,33161
Republic of Korea,KOR,Stroke,33271
Argentina,ARG,Chronic obstructive pulmonary disease,33354
United States of America,USA,Lower respiratory infections,33436
Thailand,THA,Chronic obstructive pulmonary disease,33497
Belgium,BEL,Ischaemic heart disease,33567
Zambia,ZMB,Lower respiratory infections,33615
Bosnia and Herzegovina,BIH,Ischaemic heart disease,33723
Ecuador,ECU,Ischaemic heart disease,33753
Poland,POL,"Trachea, bronchus, lung cancers",33774
Germany,DEU,Chronic obstructive pulmonary disease,33777
El Salvador,SLV,"Trachea, bronchus, lung cancers",330.5
Lesotho,LSO,Chronic obstructive pulmonary disease,3306
Viet Nam,VNM,Ischaemic heart disease,331958
Rwanda,RWA,"Trachea, bronchus, lung cancers",331.3
Dominican Republic,DOM,"Trachea, bronchus, lung cancers",331.9
Croatia,HRV,Chronic obstructive pulmonary disease,3311
Croatia,HRV,"Trachea, bronchus, lung cancers",3318
Cyprus,CYP,Stroke,332.6
Belgium,BEL,Chronic obstructive pulmonary disease,3323
Central African Republic,CAF,Chronic obstructive pulmonary disease,3334
Peru,PER,Chronic obstructive pulmonary disease,3342
Ghana,GHA,Chronic obstructive pulmonary disease,3349
Costa Rica,CRI,"Trachea, bronchus, lung cancers",335.7
Mauritius,MUS,Lower respiratory infections,336
Türkiye,TUR,Ischaemic heart disease,336032
Madagascar,MDG,"Trachea, bronchus, lung cancers",337.2
Togo,TGO,"Trachea, bronchus, lung cancers",338.4
Papua New Guinea,PNG,Chronic obstructive pulmonary disease,3383
Germany,DEU,Stroke,34036
Senegal,SEN,Ischaemic heart disease,34048
Guinea,GIN,Ischaemic heart disease,34073
Ghana,GHA,Stroke,34092
Serbia,SRB,Stroke,34166
Malaysia,MYS,Stroke,34306
Georgia,GEO,Ischaemic heart disease,34324
Czechia,CZE,Ischaemic heart disease,34494
Zimbabwe,ZWE,Ischaemic heart disease,34495
Egypt,EGY,"Trachea, bronchus, lung cancers",34759
United Arab Emirates,ARE,Ischaemic heart disease,34850
Morocco,MAR,Lower respiratory infections,34861
Poland,POL,Stroke,34903
Brazil,BRA,"Trachea, bronchus, lung cancers",34921
Poland,POL,Lower respiratory infections,34931
Fiji,FJI,"Trachea, bronchus, lung cancers",34.3
Guinea-Bissau,GNB,"Trachea, bronchus, lung cancers",34.34
Samoa,WSM,Chronic obstructive pulmonary disease,34.55
Lesotho,LSO,"Trachea, bronchus, lung cancers",34.93
Japan,JPN,Ischaemic heart disease,340195
Poland,POL,Ischaemic heart disease,340771
Djibouti,DJI,Ischaemic heart disease,3405
Cabo Verde,CPV,Stroke,341.6
Sao Tome and Principe,STP,Stroke,342.4
Turkmenistan,TKM,"Trachea, bronchus, lung cancers",342.9
Cyprus,CYP,Ischaemic heart disease,3422
Mali,MLI,"Trachea, bronchus, lung cancers",343.1
Panama,PAN,"Trachea, bronchus, lung cancers",343.9
Democratic Republic of the Congo,COD,"Trachea, bronchus, lung cancers",3433
Honduras,HND,Lower respiratory infections,3437
Mauritania,MRT,Ischaemic heart disease,3446
Azerbaijan,AZE,Chronic obstructive pulmonary disease,3449
Djibouti,DJI,Chronic obstructive pulmonary disease,345.2
Oman,OMN,Lower respiratory infections,3450
Liberia,LBR,Stroke,3452
Gambia,GMB,Stroke,3458
Malawi,MWI,Chronic obstructive pulmonary disease,3461
Germany,DEU,Ischaemic heart disease,347949
Sweden,SWE,Stroke,3477
Iraq,IRQ,Chronic obstructive pulmonary disease,3478
Sri Lanka,LKA,"Trachea, bronchus, lung cancers",3480
Ireland,IRL,Ischaemic heart disease,3487
Pakistan,PAK,Stroke,349774
Saint Vincent and the Grenadines,VCT,Ischaemic heart disease,349.6
Timor-Leste,TLS,Lower respiratory infections,3492
Chile,CHL,Chronic obstructive pulmonary disease,3496
Angola,AGO,Chronic obstructive pulmonary disease,3499
Zambia,ZMB,Chronic obstructive pulmonary disease,3499
United States of America,USA,Lower respiratory infections,35038
Angola,AGO,Stroke,35112
Peru,PER,Lower respiratory infections,35125
Mauritania,MRT,Lower respiratory infections,35176
Colombia,COL,Lower respiratory infections,35210
Tunisia,TUN,Ischaemic heart disease,35280
Malawi,MWI,Lower respiratory infections,35384
Azerbaijan,AZE,Stroke,35739
Tajikistan,TJK,Ischaemic heart disease,35814
Greece,GRC,Ischaemic heart disease,35954
Seychelles,SYC,"Trachea, bronchus, lung cancers",35.16
Belize,BLZ,"Trachea, bronchus, lung cancers",35.57
Tonga,TON,Lower respiratory infections,35.59
Antigua and Barbuda,ATG,Lower respiratory infections,35.67
Micronesia (Federated States of),FSM,Chronic obstructive pulmonary disease,35.83
Saint Vincent and the Grenadines,VCT,Lower respiratory infections,35.88
Saint Vincent and the Grenadines,VCT,Chronic obstructive pulmonary disease,35.98
Honduras,HND,"Trachea, bronchus, lung cancers",350.8
Romania,ROU,"Trachea, bronchus, lung cancers",3512
Indonesia,IDN,Lower respiratory infections,352098
Cambodia,KHM,"Trachea, bronchus, lung cancers",3524
Congo,COG,Stroke,3525
Guinea-Bissau,GNB,Stroke,3526
Tajikistan,TJK,Chronic obstructive pulmonary disease,3528
Timor-Leste,TLS,Ischaemic heart disease,3528
Paraguay,PRY,Lower respiratory infections,3532
Brazil,BRA,Ischaemic heart disease,354434
Cyprus,CYP,"Trachea, bronchus, lung cancers",354.9
Israel,ISR,Lower respiratory infections,3543
Jordan,JOR,Stroke,3545
Armenia,ARM,"Trachea, bronchus, lung cancers",3548
United Arab Emirates,ARE,Stroke,3555
Bangladesh,BGD,Lower respiratory infections,356834
Slovakia,SVK,Lower respiratory infections,3564
Mauritius,MUS,Chronic obstructive pulmonary disease,357
Iceland,ISL,Ischaemic heart disease,357.2
El Salvador,SLV,Stroke,3575
Switzerland,CHE,Stroke,3582
Honduras,HND,Chronic obstructive pulmonary disease,3588
Bahrain,BHR,Chronic obstructive pulmonary disease,359.9
Lithuania,LTU,Stroke,3591
Fiji,FJI,Ischaemic heart disease,3595
Haiti,HTI,Chronic obstructive pulmonary disease,3598
Republic of Korea,KOR,Ischaemic heart disease,36055
United States of America,USA,"Trachea, bronchus, lung cancers",36135
Madagascar,MDG,Ischaemic heart disease,36423
South Africa,ZAF,Chronic obstructive pulmonary disease,36487
France,FRA,"Trachea, bronchus, lung cancers",36517
Saudi Arabia,SAU,Stroke,36558
Tajikistan,TJK,Lower respiratory infections,36660
Morocco,MAR,Stroke,36697
Venezuela (Bolivarian Republic of),VEN,Ischaemic heart disease,36731
United Republic of Tanzania,TZA,Ischaemic heart disease,36926
Iceland,ISL,Chronic obstructive pulmonary disease,36.86
Kuwait,KWT,Lower respiratory infections,3605
Eswatini,SWZ,Ischaemic heart disease,3617
Burkina Faso,BFA,"Trachea, bronchus, lung cancers",362.8
Qatar,QAT,"Trachea, bronchus, lung cancers",362.8
Botswana,BWA,Lower respiratory infections,3633
Oman,OMN,Stroke,3633
Botswana,BWA,Chronic obstructive pulmonary disease,364.5
Mongolia,MNG,Lower respiratory infections,3641
Australia,AUS,"Trachea, bronchus, lung cancers",3647
Botswana,BWA,Stroke,3649
Bulgaria,BGR,Lower respiratory infections,3654
Serbia,SRB,Chronic obstructive pulmonary disease,3655
Belgium,BEL,Lower respiratory infections,3675
Republic of Moldova,MDA,Lower respiratory infections,3675
Slovenia,SVN,Ischaemic heart disease,3681
Kuwait,KWT,Stroke,3695
Iceland,ISL,Lower respiratory infections,37
Cambodia,KHM,Stroke,37139
Brazil,BRA,Chronic obstructive pulmonary disease,37170
Argentina,ARG,Lower respiratory infections,37284
Liberia,LBR,Lower respiratory infections,37456
Libya,LBY,Ischaemic heart disease,37499
Armenia,ARM,Ischaemic heart disease,37677
Romania,ROU,Stroke,37723
Romania,ROU,Stroke,37744
Cuba,CUB,Ischaemic heart disease,37789
Iceland,ISL,Stroke,37.08
Iceland,ISL,"Trachea, bronchus, lung cancers",37.71
Uzbekistan,UZB,Ischaemic heart disease,370344
Democratic Republic of the Congo,COD,Lower respiratory infections,371536
Papua New Guinea,PNG,"Trachea, bronchus, lung cancers",371.2
Slovenia,SVN,Lower respiratory infections,371.6
Qatar,QAT,Chronic obstructive pulmonary disease,372.7
Côte d’Ivoire,CIV,"Trachea, bronchus, lung cancers",372.7
Belgium,BEL,Lower respiratory infections,3723
Azerbaijan,AZE,"Trachea, bronchus, lung cancers",3731
Sierra Leone,SLE,Chronic obstructive pulmonary disease,3735
Eritrea,ERI,Stroke,3736
Israel,ISR,"Trachea, bronchus, lung cancers",3748
Philippines,PHL,Ischaemic heart disease,375123
Gambia,GMB,Chronic obstructive pulmonary disease,375.9
Nicaragua,NIC,Lower respiratory infections,3753
Ecuador,ECU,Chronic obstructive pulmonary disease,3762
Mali,MLI,Chronic obstructive pulmonary disease,3764
Malta,MLT,Stroke,378
Finland,FIN,"Trachea, bronchus, lung cancers",378.8
Romania,ROU,Chronic obstructive pulmonary disease,3795
Nepal,NPL,Ischaemic heart disease,38015
Italy,ITA,Chronic obstructive pulmonary disease,38183
United Kingdom of Great Britain and Northern Ireland,GBR,Chronic obstructive pulmonary disease,38202
Argentina,ARG,Stroke,38207
Dominican Republic,DOM,Ischaemic heart disease,38212
South Sudan,SSD,Lower respiratory infections,38303
France,FRA,Stroke,38365
Guatemala,GTM,Ischaemic heart disease,38500
Nigeria,NGA,Chronic obstructive pulmonary disease,38563
Austria,AUT,Ischaemic heart disease,38708
Bulgaria,BGR,Stroke,38735
Niger,NER,Stroke,38796
Bolivia (Plurinational State of),BOL,Lower respiratory infections,38865
Iraq,IRQ,Stroke,38885
Niger,NER,"Trachea, bronchus, lung cancers",38.14
Bahamas,BHS,Lower respiratory infections,38.52
Sao Tome and Principe,STP,"Trachea, bronchus, lung cancers",38.93
Brunei Darussalam,BRN,Lower respiratory infections,38.93
Slovenia,SVN,Chronic obstructive pulmonary disease,380.5
The former Yugoslav Republic of Macedonia,MKD,Lower respiratory infections,381.7
Mauritius,MUS,Ischaemic heart disease,3812
Eritrea,ERI,Ischaemic heart disease,3812
Uruguay,URY,Ischaemic heart disease,3825
Ukraine,UKR,Ischaemic heart disease,384552
Kenya,KEN,Chronic obstructive pulmonary disease,3845
Chile,CHL,Chronic obstructive pulmonary disease,3849
Viet Nam,VNM,Stroke,385258
United Republic of Tanzania,TZA,"Trachea, bronchus, lung cancers",386.4
Togo,TGO,Chronic obstructive pulmonary disease,3860
Canada,CAN,"Trachea, bronchus, lung cancers",3860
New Zealand,NZL,Ischaemic heart disease,3864
Russian Federation,RUS,Stroke,387652
Nigeria,NGA,Ischaemic heart disease,387761
Trinidad and Tobago,TTO,Lower respiratory infections,387.1
Bahrain,BHR,"Trachea, bronchus, lung cancers",387.4
Uganda,UGA,Chronic obstructive pulmonary disease,3870
Greece,GRC,Chronic obstructive pulmonary disease,3870
Papua New Guinea,PNG,Stroke,3872
Mozambique,MOZ,Ischaemic heart disease,39129
Spain,ESP,Ischaemic heart disease,39199
Kenya,KEN,Stroke,39204
Türkiye,TUR,Chronic obstructive pulmonary disease,39417
Iran (Islamic Republic of),IRN,Chronic obstructive pulmonary disease,39513
Chile,CHL,Ischaemic heart disease,39582
United Kingdom of Great Britain and Northern Ireland,GBR,Stroke,39694
Ghana,GHA,Stroke,39837
Thailand,THA,"Trachea, bronchus, lung cancers",39850
Saudi Arabia,SAU,Lower respiratory infections,39990
Brunei Darussalam,BRN,"Trachea, bronchus, lung cancers",39.19
Barbados,BRB,"Trachea, bronchus, lung cancers",39.76
Namibia,"NAM","Trachea, bronchus, lung cancers",39.84
Belize,BLZ,Ischaemic heart disease,390.2
Equatorial Guinea,GNQ,Chronic obstructive pulmonary disease,390.8
Georgia,GEO,Lower respiratory infections,3920
Ukraine,UKR,"Trachea, bronchus, lung cancers",3922
Rwanda,RWA,Chronic obstructive pulmonary disease,3924
Bangladesh,BGD,Ischaemic heart disease,393870
Guatemala,GTM,"Trachea, bronchus, lung cancers",393.5
Belgium,BEL,Stroke,3943
Australia,AUS,Chronic obstructive pulmonary disease,3943
Libya,LBY,Stroke,3946
Barbados,BRB,Ischaemic heart disease,395.7
Czechia,CZE,Lower respiratory infections,3950
Madagascar,MDG,Chronic obstructive pulmonary disease,3952
Solomon Islands,SLB,Lower respiratory infections,396.1
Norway,NOR,"Trachea, bronchus, lung cancers",396.7
Saint Lucia,LCA,Ischaemic heart disease,397.7
Fiji,FJI,Lower respiratory infections,397.8
Oman,OMN,Chronic obstructive pulmonary disease,397.9
Pakistan,PAK,Chronic obstructive pulmonary disease,399506
United States of America,USA,Ischaemic heart disease,399917
